"","TCGA-02-0047-01","TCGA-06-0129-01","TCGA-06-0141-01","TCGA-06-0157-01","TCGA-06-0168-01","TCGA-06-0174-01","TCGA-06-0187-01","TCGA-06-0190-01","TCGA-06-0644-01","TCGA-06-0646-01","TCGA-06-5412-01","TCGA-14-1823-01","TCGA-76-4928-01","TCGA-76-4931-01"
"GTEX-111FC-0426-SM-5N9CV",0.152472527472527,-0.0745421245421245,0.0735805860805861,0.114377289377289,0.0727564102564102,0.10485347985348,0.130540293040293,0.169001831501831,0.259020146520147,0.0504578754578755,0.191895604395604,0.128388278388278,0.12985347985348,0.0333791208791209
"GTEX-111FC-0526-SM-5GZZ8",0.293452380952381,0.362225274725275,0.229212454212454,0.212637362637363,0.0407509157509157,0.219093406593407,0.194047619047619,0.2875,0.154075091575092,0.243956043956044,0.0925824175824176,0.131959706959707,0.179166666666667,0.261355311355311
"GTEX-111FC-0626-SM-5N9CU",0.105723443223443,-0.0106684981684982,0.248443223443223,0.0838827838827839,0.0871794871794872,0.0542124542124542,0.0886446886446886,0.215750915750916,0.16735347985348,0.125045787545788,0.159432234432234,0.12760989010989,0.182783882783883,0.0755494505494505
"GTEX-111FC-0826-SM-5GZWO",0.00785265399151713,-0.0675145090990787,0.212662690749862,0.0134159044869651,-0.0149955928992528,-0.00940944836884414,0.0255497430161315,0.0899277693255956,0.0750924346710676,-0.00940944836884414,0.0975972710374272,0.157900159123888,0.0991998534846755,-0.0471388179840635
"GTEX-111FC-1026-SM-5GZX1",-0.00425824175824176,0.0353021978021978,0.0683608058608059,0.115201465201465,-0.00631868131868132,-0.115521978021978,-0.0243131868131868,-0.0636904761904762,-0.18489010989011,0.00421245421245421,-0.00929487179487179,-0.0818681318681319,-0.0950091575091575,0.0335164835164835
"GTEX-111FC-1126-SM-5GZWU",-0.120604395604396,-0.181684981684982,0.0224358974358974,-0.143131868131868,-0.131684981684982,-0.257554945054945,-0.215750915750916,-0.00618131868131868,-0.133882783882784,-0.104807692307692,-0.0831501831501831,-0.158791208791209,-0.122985347985348,-0.194642857142857
"GTEX-111FC-1326-SM-5N9D9",0.0266025641025641,0.286996336996337,0.283653846153846,0.241346153846154,0.0271978021978022,-0.00187728937728938,0.0910714285714286,0.189789377289377,-0.036492673992674,0.170741758241758,0.0866300366300366,-0.0429029304029304,0.0215201465201465,0.178571428571429
"GTEX-111FC-1426-SM-5N9C7",0.00338827838827839,-0.0183150183150183,0.0881410256410256,0.0977106227106227,0.0358974358974359,-0.0485805860805861,0.0696428571428571,0.0961538461538462,0.00572344322344322,-0.0418498168498168,0.0673076923076923,0.109798534798535,0.0268772893772894,-0.0343864468864469
"GTEX-111FC-1926-SM-5GZYC",0.125412087912088,0.121794871794872,0.133424908424908,0.0875,0.0271062271062271,0.0245879120879121,-0.0469322344322344,0.0218864468864469,-0.0992673992673993,0.113827838827839,0.0423534798534798,0.0714285714285714,-0.00833333333333333,0.0423076923076923
"GTEX-111FC-2026-SM-5GZYO",-0.118498168498169,0.0433150183150183,0.0347985347985348,-0.00998168498168498,-0.0884615384615385,-0.127930402930403,-0.140201465201465,0.0552197802197802,-0.194871794871795,-0.00224358974358974,-0.153388278388278,-0.169459706959707,-0.141849816849817,0.0145604395604396
